rel_path,mean_db,max_db,median_db,peak_to_mean
Thai\long vowels-#VD\ɯːŋ55.mp3,-29.83,-17.42,-23.95,12.41
Thai\long vowels-#VD\ɤːe55.mp3,-27.65,-15.92,-19.66,11.73
Thai\long vowels-#VD\ɤːm55.mp3,-28.11,-17.91,-22.59,10.21
Thai\long vowels-#VD\ɤːn55.mp3,-28.28,-17.99,-22.82,10.29
Thai\long vowels-#VD\ɤːŋ55.mp3,-30.07,-18.55,-22.84,11.52
Thai\short vowels-#DV\ba55.mp3,-46.36,-13.74,-48.18,32.62
Thai\short vowels-#DV\be55.mp3,-48.09,-22.30,-45.77,25.78
Thai\short vowels-#DV\bo55.mp3,-35.37,-14.69,-32.25,20.69
Thai\short vowels-#DV\bu55.mp3,-47.77,-20.03,-45.03,27.74
Thai\short vowels-#DV\bæ55.mp3,-32.02,-14.73,-31.59,17.29
Thai\short vowels-#DV\bɔ55.mp3,-42.90,-17.24,-31.27,25.67
Thai\short vowels-#DV\bɛ55.mp3,-56.65,-19.33,-40.75,37.32
Thai\short vowels-#DV\bɯ55.mp3,-62.98,-17.36,-57.45,45.62
Thai\short vowels-#DV\bɤ55.mp3,-33.72,-17.45,-27.43,16.27
Thai\short vowels-#DV\da55.mp3,-51.75,-14.47,-52.33,37.28
Thai\short vowels-#DV\de55.mp3,-48.18,-23.65,-47.34,24.54
Thai\short vowels-#DV\do55.mp3,-24.04,-14.22,-18.10,9.82
Thai\short vowels-#DV\du55.mp3,-43.29,-19.63,-45.39,23.66
Thai\short vowels-#DV\dæ55.mp3,-38.49,-18.01,-34.06,20.48
Thai\short vowels-#DV\dɔ55.mp3,-42.77,-18.80,-34.81,23.97
Thai\short vowels-#DV\dɛ55.mp3,-45.06,-19.13,-44.60,25.93
Thai\short vowels-#DV\dɯ55.mp3,-43.52,-19.30,-41.64,24.22
Thai\short vowels-#DV\dɤ55.mp3,-53.69,-20.03,-36.81,33.67
Thai\short vowels-#DV\ga55.mp3,-51.75,-14.47,-52.33,37.28
Thai\short vowels-#DV\ge55.mp3,-55.57,-23.48,-54.63,32.09
Thai\short vowels-#DV\go55.mp3,-48.16,-13.22,-44.13,34.95
Thai\short vowels-#DV\gu55.mp3,-39.79,-19.93,-32.28,19.86
Thai\short vowels-#DV\gæ55.mp3,-40.72,-17.78,-43.88,22.94
Thai\short vowels-#DV\gɔ55.mp3,-40.55,-19.67,-37.58,20.87
Thai\short vowels-#DV\gɛ55.mp3,-44.58,-21.20,-44.99,23.38
Thai\short vowels-#DV\gɤ55.mp3,-46.76,-20.55,-48.63,26.20
Thai\short vowels-#DV\pe21.mp3,-45.93,-20.26,-45.70,25.67
Thai\short vowels-#TV\kʰa55.mp3,-44.32,-10.65,-45.65,33.67
Thai\short vowels-#TV\kʰe55.mp3,-33.57,-23.95,-36.32,9.62
Thai\short vowels-#TV\kʰo55.mp3,-26.64,-10.91,-20.11,15.73
Thai\short vowels-#TV\kʰu55.mp3,-36.17,-10.54,-32.04,25.62
Thai\short vowels-#TV\kʰæ55.mp3,-37.57,-10.10,-34.56,27.46
Thai\short vowels-#TV\kʰɔ55.mp3,-37.15,-12.62,-33.22,24.52
Thai\short vowels-#TV\kʰɛ55.mp3,-42.62,-10.82,-35.42,31.80
Thai\short vowels-#TV\kʰɯ55.mp3,-33.90,-11.50,-30.49,22.40
Thai\short vowels-#TV\kʰɤ55.mp3,-28.18,-14.81,-23.90,13.37
Thai\short vowels-#TV\pa55.mp3,-45.80,-13.95,-48.70,31.85
Thai\short vowels-#TV\pe55.mp3,-49.06,-22.94,-46.98,26.11
Thai\short vowels-#TV\po55.mp3,-45.37,-13.34,-47.43,32.03
Thai\short vowels-#TV\pu55.mp3,-47.54,-20.02,-46.67,27.52
Thai\short vowels-#TV\pæ55.mp3,-29.92,-15.32,-21.66,14.60
Thai\short vowels-#TV\pɔ55.mp3,-37.08,-17.85,-37.30,19.23
Thai\short vowels-#TV\pɛ55.mp3,-46.10,-20.89,-48.83,25.21
Thai\short vowels-#TV\pɯ55.mp3,-42.72,-19.32,-42.89,23.40
Thai\short vowels-#TV\pɤ55.mp3,-53.52,-18.91,-51.55,34.61
Thai\short vowels-#TV\pʰa55.mp3,-41.29,-10.23,-42.03,31.06
Thai\short vowels-#TV\pʰe55.mp3,-36.22,-9.27,-30.48,26.95
Thai\short vowels-#TV\pʰo55.mp3,-30.15,-10.28,-25.41,19.87
Thai\short vowels-#TV\pʰu55.mp3,-29.76,-11.89,-28.70,17.87
Thai\short vowels-#TV\pʰæ55.mp3,-29.86,-12.05,-24.66,17.81
Thai\short vowels-#TV\pʰɔ55.mp3,-36.77,-12.79,-31.67,23.98
Thai\short vowels-#TV\pʰɛ55.mp3,-28.36,-12.02,-21.87,16.34
Thai\short vowels-#TV\pʰɯ55.mp3,-34.08,-11.36,-31.76,22.72
Thai\short vowels-#TV\pʰɤ55.mp3,-37.84,-13.91,-36.27,23.93
Thai\short vowels-#TV\ta55.mp3,-46.64,-14.49,-51.11,32.15
Thai\short vowels-#TV\te55.mp3,-53.44,-22.25,-60.81,31.19
Thai\short vowels-#TV\to55.mp3,-33.75,-15.99,-30.16,17.76
Thai\short vowels-#TV\tu21.mp3,-39.66,-21.05,-37.49,18.61
Thai\short vowels-#TV\tæ55.mp3,-36.56,-18.49,-28.21,18.07
Thai\short vowels-#TV\tɔ55.mp3,-43.36,-18.86,-44.13,24.49
Thai\short vowels-#TV\tɛ55.mp3,-45.85,-21.40,-41.26,24.44
Thai\short vowels-#TV\tɯ55.mp3,-43.98,-19.36,-41.03,24.61
Thai\short vowels-#TV\tɤ55.mp3,-37.94,-16.68,-39.30,21.26
Thai\short vowels-#TV\tʰa55.mp3,-36.24,-10.12,-31.00,26.12
Thai\short vowels-#TV\tʰe55.mp3,-33.15,-10.82,-36.04,22.34
Thai\short vowels-#TV\tʰo55.mp3,-35.13,-10.05,-28.51,25.07
Thai\short vowels-#TV\tʰu55.mp3,-24.89,-11.55,-20.37,13.34
Thai\short vowels-#TV\tʰæ55.mp3,-25.87,-11.41,-20.29,14.47
Thai\short vowels-#TV\tʰɔ55.mp3,-38.11,-13.14,-37.09,24.97
Thai\short vowels-#TV\tʰɛ55.mp3,-34.64,-11.09,-33.84,23.55
Thai\short vowels-#TV\tʰɯ55.mp3,-28.96,-12.02,-27.70,16.94
Thai\short vowels-#TV\tʰɤ55.mp3,-53.62,-13.74,-44.29,39.89
Thai\short vowels-#VD\ab55.mp3,-62.46,-10.48,-72.57,51.98
